"X","Dilution","Content",".copy","Sample","Time","OD"
87,0.03125,"Elution",3,"Un_0087 1/1","850",0.530623
87,0.03125,"Elution",3,"Un_0087 1/1","860",0.530202
87,0.03125,"Elution",3,"Un_0087 1/1","870",0.53001
87,0.03125,"Elution",3,"Un_0087 1/1","880",0.528548
87,0.03125,"Elution",3,"Un_0087 1/1","890",0.528678
87,0.03125,"Elution",3,"Un_0087 1/1","900",0.528685
87,0.03125,"Elution",3,"Un_0087 1/1","910",0.528618
87,0.03125,"Elution",3,"Un_0087 1/1","920",0.528868
87,0.03125,"Elution",3,"Un_0087 1/1","930",0.529821
87,0.03125,"Elution",3,"Un_0087 1/1","940",0.528763
87,0.03125,"Elution",3,"Un_0087 1/1","950",0.528341
87,0.03125,"Elution",3,"Un_0087 1/1","960",0.528093
87,0.03125,"Elution",3,"Un_0087 1/1","970",0.527552
87,0.03125,"Elution",3,"Un_0087 1/1","980",0.527577
87,0.03125,"Elution",3,"Un_0087 1/1","990",0.527267
87,0.03125,"Elution",3,"Un_0087 1/1","1000",0.527502
87,0.03125,"Elution",3,"Un_0087 1/1","1010",0.528239
87,0.03125,"Elution",3,"Un_0087 1/1","1020",0.527761
87,0.03125,"Elution",3,"Un_0087 1/1","1030",0.527828
87,0.03125,"Elution",3,"Un_0087 1/1","1040",0.527552
87,0.03125,"Elution",3,"Un_0087 1/1","1050",0.528419
87,0.03125,"Elution",3,"Un_0087 1/1","1060",0.528144
87,0.03125,"Elution",3,"Un_0087 1/1","1070",0.528974
87,0.03125,"Elution",3,"Un_0087 1/1","1080",0.52929
88,0,"Elution",3,"Un_0088 1/1","0",0.0984913
88,0,"Elution",3,"Un_0088 1/1","10",0.0809289
88,0,"Elution",3,"Un_0088 1/1","20",0.0793569
88,0,"Elution",3,"Un_0088 1/1","30",0.0783614
88,0,"Elution",3,"Un_0088 1/1","40",0.0774992
88,0,"Elution",3,"Un_0088 1/1","50",0.0774983
88,0,"Elution",3,"Un_0088 1/1","60",0.0766615
88,0,"Elution",3,"Un_0088 1/1","70",0.0766879
88,0,"Elution",3,"Un_0088 1/1","80",0.0764963
88,0,"Elution",3,"Un_0088 1/1","90",0.0765219
88,0,"Elution",3,"Un_0088 1/1","100",0.076315
88,0,"Elution",3,"Un_0088 1/1","110",0.0758751
88,0,"Elution",3,"Un_0088 1/1","120",0.0758859
88,0,"Elution",3,"Un_0088 1/1","130",0.075786
88,0,"Elution",3,"Un_0088 1/1","140",0.0756754
88,0,"Elution",3,"Un_0088 1/1","150",0.075633
88,0,"Elution",3,"Un_0088 1/1","160",0.0755766
88,0,"Elution",3,"Un_0088 1/1","170",0.075127
88,0,"Elution",3,"Un_0088 1/1","180",0.0754904
88,0,"Elution",3,"Un_0088 1/1","190",0.076127
88,0,"Elution",3,"Un_0088 1/1","200",0.0757739
88,0,"Elution",3,"Un_0088 1/1","210",0.0764655
88,0,"Elution",3,"Un_0088 1/1","220",0.0775621
88,0,"Elution",3,"Un_0088 1/1","230",0.0780187
88,0,"Elution",3,"Un_0088 1/1","240",0.0796579
88,0,"Elution",3,"Un_0088 1/1","250",0.0816437
88,0,"Elution",3,"Un_0088 1/1","260",0.0842803
88,0,"Elution",3,"Un_0088 1/1","270",0.0884568
88,0,"Elution",3,"Un_0088 1/1","280",0.0924047
88,0,"Elution",3,"Un_0088 1/1","290",0.0973301
88,0,"Elution",3,"Un_0088 1/1","300",0.103608
88,0,"Elution",3,"Un_0088 1/1","310",0.109266
88,0,"Elution",3,"Un_0088 1/1","320",0.11511
88,0,"Elution",3,"Un_0088 1/1","330",0.12269
88,0,"Elution",3,"Un_0088 1/1","340",0.130413
88,0,"Elution",3,"Un_0088 1/1","350",0.138723
88,0,"Elution",3,"Un_0088 1/1","360",0.146692
88,0,"Elution",3,"Un_0088 1/1","370",0.155425
88,0,"Elution",3,"Un_0088 1/1","380",0.164803
88,0,"Elution",3,"Un_0088 1/1","390",0.178123
88,0,"Elution",3,"Un_0088 1/1","400",0.185712
88,0,"Elution",3,"Un_0088 1/1","410",0.193725
88,0,"Elution",3,"Un_0088 1/1","420",0.202909
88,0,"Elution",3,"Un_0088 1/1","430",0.213173
88,0,"Elution",3,"Un_0088 1/1","440",0.223656
88,0,"Elution",3,"Un_0088 1/1","450",0.231871
88,0,"Elution",3,"Un_0088 1/1","460",0.241863
88,0,"Elution",3,"Un_0088 1/1","470",0.250127
88,0,"Elution",3,"Un_0088 1/1","480",0.259962
88,0,"Elution",3,"Un_0088 1/1","490",0.269289
88,0,"Elution",3,"Un_0088 1/1","500",0.278643
88,0,"Elution",3,"Un_0088 1/1","510",0.287628
88,0,"Elution",3,"Un_0088 1/1","520",0.298697
88,0,"Elution",3,"Un_0088 1/1","530",0.307963
88,0,"Elution",3,"Un_0088 1/1","540",0.317575
88,0,"Elution",3,"Un_0088 1/1","550",0.325938
88,0,"Elution",3,"Un_0088 1/1","560",0.335157
88,0,"Elution",3,"Un_0088 1/1","570",0.345467
88,0,"Elution",3,"Un_0088 1/1","580",0.355912
88,0,"Elution",3,"Un_0088 1/1","590",0.367202
88,0,"Elution",3,"Un_0088 1/1","600",0.374886
88,0,"Elution",3,"Un_0088 1/1","610",0.384377
88,0,"Elution",3,"Un_0088 1/1","620",0.391865
88,0,"Elution",3,"Un_0088 1/1","630",0.400402
88,0,"Elution",3,"Un_0088 1/1","640",0.408222
88,0,"Elution",3,"Un_0088 1/1","650",0.415032
88,0,"Elution",3,"Un_0088 1/1","660",0.420592
88,0,"Elution",3,"Un_0088 1/1","670",0.424912
88,0,"Elution",3,"Un_0088 1/1","680",0.428011
88,0,"Elution",3,"Un_0088 1/1","690",0.432733
88,0,"Elution",3,"Un_0088 1/1","700",0.436483
88,0,"Elution",3,"Un_0088 1/1","710",0.439061
88,0,"Elution",3,"Un_0088 1/1","720",0.441533
88,0,"Elution",3,"Un_0088 1/1","730",0.444111
88,0,"Elution",3,"Un_0088 1/1","740",0.444758
88,0,"Elution",3,"Un_0088 1/1","750",0.447658
88,0,"Elution",3,"Un_0088 1/1","760",0.448369
88,0,"Elution",3,"Un_0088 1/1","770",0.450335
88,0,"Elution",3,"Un_0088 1/1","780",0.451135
88,0,"Elution",3,"Un_0088 1/1","790",0.451918
88,0,"Elution",3,"Un_0088 1/1","800",0.451958
88,0,"Elution",3,"Un_0088 1/1","810",0.452764
88,0,"Elution",3,"Un_0088 1/1","820",0.452482
88,0,"Elution",3,"Un_0088 1/1","830",0.452573
88,0,"Elution",3,"Un_0088 1/1","840",0.453071
88,0,"Elution",3,"Un_0088 1/1","850",0.453303
88,0,"Elution",3,"Un_0088 1/1","860",0.452849
88,0,"Elution",3,"Un_0088 1/1","870",0.453582
88,0,"Elution",3,"Un_0088 1/1","880",0.452643
88,0,"Elution",3,"Un_0088 1/1","890",0.452716
88,0,"Elution",3,"Un_0088 1/1","900",0.453591
88,0,"Elution",3,"Un_0088 1/1","910",0.452478
88,0,"Elution",3,"Un_0088 1/1","920",0.452622
88,0,"Elution",3,"Un_0088 1/1","930",0.453367
88,0,"Elution",3,"Un_0088 1/1","940",0.453076
88,0,"Elution",3,"Un_0088 1/1","950",0.451954
88,0,"Elution",3,"Un_0088 1/1","960",0.452519
88,0,"Elution",3,"Un_0088 1/1","970",0.452759
88,0,"Elution",3,"Un_0088 1/1","980",0.452683
88,0,"Elution",3,"Un_0088 1/1","990",0.452357
88,0,"Elution",3,"Un_0088 1/1","1000",0.452881
88,0,"Elution",3,"Un_0088 1/1","1010",0.453329
88,0,"Elution",3,"Un_0088 1/1","1020",0.453616
88,0,"Elution",3,"Un_0088 1/1","1030",0.453637
88,0,"Elution",3,"Un_0088 1/1","1040",0.453731
88,0,"Elution",3,"Un_0088 1/1","1050",0.453823
88,0,"Elution",3,"Un_0088 1/1","1060",0.455018
88,0,"Elution",3,"Un_0088 1/1","1070",0.455295
88,0,"Elution",3,"Un_0088 1/1","1080",0.455733
89,2,"Elution_w_o",1,"Un_0089 1/1","0",0.110249
89,2,"Elution_w_o",1,"Un_0089 1/1","10",0.0836157
89,2,"Elution_w_o",1,"Un_0089 1/1","20",0.0826982
89,2,"Elution_w_o",1,"Un_0089 1/1","30",0.0819355
89,2,"Elution_w_o",1,"Un_0089 1/1","40",0.081143
89,2,"Elution_w_o",1,"Un_0089 1/1","50",0.0804938
89,2,"Elution_w_o",1,"Un_0089 1/1","60",0.0797786
89,2,"Elution_w_o",1,"Un_0089 1/1","70",0.0796223
89,2,"Elution_w_o",1,"Un_0089 1/1","80",0.0793457
89,2,"Elution_w_o",1,"Un_0089 1/1","90",0.0790675
89,2,"Elution_w_o",1,"Un_0089 1/1","100",0.0792135
89,2,"Elution_w_o",1,"Un_0089 1/1","110",0.0788017
89,2,"Elution_w_o",1,"Un_0089 1/1","120",0.079161
89,2,"Elution_w_o",1,"Un_0089 1/1","130",0.0784866
89,2,"Elution_w_o",1,"Un_0089 1/1","140",0.0784656
89,2,"Elution_w_o",1,"Un_0089 1/1","150",0.0779627
89,2,"Elution_w_o",1,"Un_0089 1/1","160",0.0781211
89,2,"Elution_w_o",1,"Un_0089 1/1","170",0.0778588
89,2,"Elution_w_o",1,"Un_0089 1/1","180",0.0778423
89,2,"Elution_w_o",1,"Un_0089 1/1","190",0.0776603
89,2,"Elution_w_o",1,"Un_0089 1/1","200",0.0773353
89,2,"Elution_w_o",1,"Un_0089 1/1","210",0.0774818
89,2,"Elution_w_o",1,"Un_0089 1/1","220",0.0774699
89,2,"Elution_w_o",1,"Un_0089 1/1","230",0.0772447
89,2,"Elution_w_o",1,"Un_0089 1/1","240",0.0775467
89,2,"Elution_w_o",1,"Un_0089 1/1","250",0.0771704
89,2,"Elution_w_o",1,"Un_0089 1/1","260",0.0772233
89,2,"Elution_w_o",1,"Un_0089 1/1","270",0.0770334
89,2,"Elution_w_o",1,"Un_0089 1/1","280",0.0770138
89,2,"Elution_w_o",1,"Un_0089 1/1","290",0.0765849
