temperature,sterol type,sterol conc,other phosph,tails,satur index,PC conc,ethanol conc,APL,thickness,bending,tilt,zorder,compress
298,chole,20,PE,DP,0.0,50,0,0.536398,4.822977364654122,85.5761,160.0,0.836038,16.19837463936093
298,chole,20,PE,DP,0.0,33,0,0.530962,4.837804472216213,95.6642,170.252,0.857441,335.89609976412396
298,chole,20,PE,DP,0.0,33,0,0.5315030000000001,4.847552594394074,96.5195,180.379,0.857886,40.04948191124334
298,chole,20,PE,DP,0.0,0,0,0.527615,4.8272590879579695,101.264,187.124,0.865784,404.145815780184
298,chole,20,PE,DP,0.0,0,0,0.530616,4.827131180255627,100.854,184.743,0.858308,93.6798371070391
298,chole,20,PE,DP,0.0,25,0,0.5293610000000001,4.835563237684568,100.587,180.627,0.861709,348.2971838506484
298,chole,20,PE,DP,0.0,25,0,0.5358010000000001,4.81777846158441,92.7986,171.625,0.837132,62.153139794485874
298,chole,20,PE,PO,0.5,75,25,0.722648,3.7083250534083554,12.2383,16.3894,0.245477,27.310933588358512
298,chole,20,PE,PO,0.5,100,25,0.734426,3.654712293478763,12.073,15.7335,0.237356,26.15658216922424
298,chole,20,PE,PO,0.5,67,25,0.717206,3.7316140972551075,12.4275,16.967,0.251212,27.3572016722686
298,chole,20,PE,PO,0.5,0,25,0.6819280000000001,3.8987674498454155,13.6352,20.4862,0.285467,32.90294536507919
298,chole,20,PE,PO,0.5,25,25,0.694901,3.8368068682734737,13.174,19.1376,0.272033,30.105225043230824
