AGE	GENDER	GROUP_SIZE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
85	1	1	75,85	79,37	26,75	83,09	100,36	100,25	176,34	26,35	81,55	99,53	99,27	175,98	58,71	56,63	0,88	1,20	8,47	15,48	74,54	73,32	64,58	65,60	98,56	99,05	137,36	140,55	55,13	4,67	5,57	4,64	5,74	5,93	15,30	7,74	17,72	20,89	26,23	3,47	467,38	2329,44	443,70	2211,05	 	11,46	 	3,66	3,95	1,22	 	 	 	 	 	 	 	 	1,01	0,86	0,91	0,54	2009,50	-0,74	1,07	1,16
85	2	1	76,05	79,44	27,42	72,83	104,52	92,67	162,94	27,51	72,72	103,78	92,50	162,39	69,90	72,50	2,50	1,19	13,08	20,22	72,41	72,58	69,96	70,23	97,84	101,26	138,98	149,38	57,89	5,55	5,37	5,42	5,64	9,30	3,51	3,66	16,92	17,95	27,73	3,81	328,89	1606,84	322,50	1574,88	3,23	25,89	 	5,95	11,84	6,02	 	 	 	 	 	 	 	 	1,15	0,83	0,88	0,69	2009,42	-0,79	0,97	2,12
86	1	1	77,01	80,42	26,90	83,88	101,03	100,63	176,54	26,47	81,51	99,40	99,67	175,42	48,80	47,14	2,11	1,41	8,08	13,89	75,26	75,23	66,37	66,11	98,64	100,21	136,28	141,87	57,94	4,83	5,73	4,49	5,61	5,10	16,95	8,00	19,53	21,88	25,12	3,25	403,15	2047,32	352,56	1794,35	 	13,39	 	3,13	3,08	0,00	 	 	 	 	 	 	 	 	0,90	0,61	0,82	0,44	2009,38	-0,56	0,87	0,99
86	2	1	76,83	80,35	27,65	73,38	104,19	93,81	162,96	27,11	70,95	103,02	91,44	161,89	77,48	85,00	0,00	0,00	20,87	19,10	72,39	72,40	69,20	71,07	98,09	99,88	140,38	146,40	60,90	5,42	5,80	5,32	5,62	6,09	2,62	2,65	20,25	23,42	27,28	3,76	283,69	1442,52	277,80	1413,08	3,22	22,29	 	1,18	9,33	15,29	35,00	12,00	30,00	13,00	13,00	35,00	21,00	39,00	1,04	0,59	0,74	0,57	2009,40	-0,84	1,20	0,60
87	1	1	77,96	81,34	26,79	82,78	99,92	100,00	175,80	26,47	80,78	99,89	99,82	174,64	52,42	48,21	2,41	1,75	8,79	12,28	75,99	76,36	67,75	67,58	99,71	101,91	138,50	144,86	53,78	4,87	5,64	4,58	5,73	13,19	16,54	5,65	17,74	21,77	25,05	3,18	359,86	1826,48	317,27	1613,52	 	8,80	 	3,33	3,64	4,92	30,00	20,00	16,00	24,00	22,00	31,00	14,00	28,00	0,93	0,57	0,98	0,40	2009,36	-0,72	0,00	0,00
87	2	1	77,79	81,22	28,20	74,49	105,03	96,09	162,55	27,42	71,96	103,90	92,86	161,97	75,89	78,67	1,14	1,45	11,88	24,36	73,39	73,65	70,04	72,07	99,48	100,73	142,29	145,75	62,04	5,57	5,44	5,53	5,60	10,89	4,09	9,22	12,14	15,00	27,17	3,74	289,05	1448,63	287,79	1442,32	3,40	33,57	 	4,69	10,00	6,15	30,00	19,00	20,00	23,00	23,00	33,00	16,00	29,00	1,37	0,97	0,76	0,42	2009,36	-0,87	1,77	0,00
88	1	1	78,90	82,35	26,73	81,69	100,15	100,11	174,79	26,70	82,16	100,63	100,65	175,38	58,51	74,42	0,00	0,00	3,03	7,14	75,28	74,58	66,98	67,02	100,25	101,10	141,21	146,16	53,68	4,99	5,63	4,80	6,07	7,69	14,95	4,30	17,89	21,05	25,77	3,45	332,75	1702,00	328,75	1682,00	 	11,46	 	0,00	2,27	0,00	27,00	19,00	14,00	21,00	18,00	28,00	21,00	30,00	1,08	0,49	0,89	0,37	2009,21	-0,78	0,60	0,00
88	2	1	79,09	82,39	26,92	70,75	103,70	92,11	162,08	27,00	69,73	102,28	91,64	160,57	70,83	73,91	0,00	0,00	8,82	17,02	75,52	74,04	70,66	70,98	101,25	101,92	142,82	149,79	57,29	5,57	5,40	5,39	5,11	1,47	3,66	6,38	11,22	13,27	27,12	3,75	317,69	1597,00	290,08	1458,92	3,20	37,50	 	9,52	2,63	4,88	 	 	 	 	 	 	 	 	1,17	0,98	0,97	0,50	2009,52	-0,95	0,41	1,79
89	1	1	79,85	83,29	26,97	84,28	101,49	101,35	176,82	26,69	83,57	100,28	99,60	177,01	53,75	51,52	0,00	5,56	5,17	13,89	75,43	73,82	67,30	68,06	100,82	101,24	143,42	146,24	61,54	4,85	5,59	4,77	5,44	3,45	17,09	6,25	20,25	21,52	24,16	3,04	462,81	2418,02	445,13	2329,62	 	14,81	 	3,03	0,00	0,00	 	 	 	 	 	 	 	 	0,96	0,47	0,61	0,29	2009,41	-0,62	0,48	0,00
89	2	1	79,79	83,08	27,05	71,30	104,24	93,77	162,38	27,69	72,53	105,80	94,46	161,93	69,51	80,65	2,13	0,00	13,46	33,33	73,37	72,74	69,00	70,53	100,00	101,32	143,47	149,00	58,23	5,38	5,59	5,48	5,34	5,77	2,25	3,80	13,41	14,63	26,92	3,67	233,37	1190,10	230,92	1177,86	3,67	25,61	 	13,79	15,38	19,35	 	 	 	 	 	 	 	 	0,98	1,15	0,83	1,21	2009,19	-0,80	1,85	2,38
90	1	1	80,72	84,52	26,64	80,50	100,23	100,04	173,85	26,58	80,08	101,61	101,80	173,52	47,69	54,84	2,00	0,00	11,32	20,69	75,40	75,33	66,59	65,85	101,15	103,03	143,16	148,73	71,64	4,79	5,64	4,81	5,63	5,66	14,31	3,03	15,94	20,29	25,17	3,17	308,80	1523,15	293,15	1444,89	 	13,43	 	3,57	3,57	0,00	 	 	 	 	 	 	 	 	1,14	0,56	1,11	0,52	2009,36	-0,51	0,00	0,00
90	2	1	80,62	84,39	28,88	74,22	106,88	97,68	160,22	27,75	70,56	104,85	93,35	159,50	78,95	88,89	0,00	0,00	14,29	33,33	70,97	73,19	71,77	71,65	96,73	100,55	138,63	145,87	70,00	5,55	5,45	5,57	5,39	8,57	4,35	1,72	11,86	15,25	27,88	3,85	198,13	948,59	198,13	948,59	3,27	18,33	 	4,35	9,52	9,52	 	 	 	 	 	 	 	 	1,50	0,84	0,96	0,83	2008,93	-0,79	0,75	0,00
