ZIPCODE	GENDER	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	WAIST_T1	HEIGHT_T1	BMI_T2	WEIGHT_T2	HIP_T2	WAIST_T2	HEIGHT_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	PREGNANCIES	OSTEOARTHRITIS_T1	SLEEP_QUALITY	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	NSES	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
9301	2	3	9	46,93	51,53	26,54	75,98	100,23	88,37	169,12	26,80	75,85	103,61	88,83	168,31	30,00	28,71	67,08	65,88	6,79	11,27	70,57	71,40	71,18	69,35	90,07	93,70	120,94	128,60	14,41	5,09	4,93	5,15	5,04	10,56	5,05	22,05	3,54	5,31	25,33	3,28	407,94	2106,24	287,62	1504,66	2,05	6,65	32,56	3,16	7,07	7,41	29,46	19,15	20,16	22,41	21,08	29,19	18,88	28,26	1,18	2,72	0,85	2,29	2009,97	-0,91	1,76	2,51
9302	1	1	8	42,76	45,77	25,36	84,20	95,14	91,94	181,59	25,13	83,95	97,38	92,37	182,57	10,92	5,97	86,84	95,65	2,61	11,59	73,80	75,37	68,25	65,94	92,60	95,99	123,20	128,96	10,40	5,12	5,12	5,04	5,06	8,70	4,74	15,93	4,07	4,88	23,44	2,93	353,35	2180,05	335,78	2092,20	 	3,10	18,52	0,00	0,00	3,45	30,51	16,84	17,94	22,01	23,82	29,51	16,68	28,43	0,78	1,92	0,51	1,75	2009,97	1,29	0,62	1,07
9302	2	1	8	42,96	48,46	23,73	68,32	93,71	81,96	169,40	24,27	69,60	97,93	83,08	169,34	17,07	15,84	80,13	81,19	6,92	5,94	68,69	70,52	70,55	67,38	87,36	91,78	116,68	124,84	10,29	5,04	4,64	5,10	4,74	6,29	3,46	14,65	0,58	0,58	26,08	3,43	391,93	2164,21	281,20	1610,57	2,09	3,91	31,25	1,18	6,98	5,81	29,77	18,63	20,30	22,17	21,22	28,93	18,74	28,34	1,01	2,54	0,93	2,32	2009,93	1,29	2,62	0,49
9311	1	1	9	47,10	53,42	25,53	85,32	96,91	93,86	182,69	25,70	85,00	97,98	94,03	181,88	29,41	32,26	70,59	67,74	13,73	16,13	74,67	74,18	68,87	67,18	93,81	95,39	125,65	130,94	13,46	5,23	5,05	5,10	5,14	1,96	6,68	22,00	1,92	3,92	23,38	2,78	511,70	2736,60	318,72	1771,70	 	5,88	28,57	0,00	7,41	7,41	30,77	19,00	18,25	22,25	24,14	29,98	16,30	27,66	0,88	2,55	0,71	1,81	2010,00	-0,57	1,37	2,65
9311	2	1	8	45,73	50,24	25,60	73,56	97,73	84,02	169,61	26,25	75,68	103,01	86,50	169,80	20,69	22,50	71,43	75,61	5,36	17,07	69,61	70,36	70,71	66,50	88,71	90,69	119,81	122,57	9,68	5,09	4,76	5,12	4,81	0,00	3,58	14,55	0,00	0,00	25,50	3,26	506,34	2524,15	308,64	1535,66	2,18	8,06	38,46	2,94	11,76	11,76	30,44	18,02	20,85	22,00	21,38	30,52	18,15	29,42	1,02	2,15	0,83	2,15	2010,00	-0,57	1,53	0,87
9312	1	1	9	49,17	53,17	25,65	84,82	95,84	92,29	181,48	25,82	84,72	98,71	94,60	180,88	22,64	26,32	79,59	68,42	8,16	13,16	74,87	76,24	69,13	66,88	94,94	97,46	127,70	131,37	19,23	5,25	5,16	5,16	5,19	10,20	10,39	21,57	1,85	5,56	24,06	3,02	664,93	3755,23	353,14	2196,28	 	9,26	22,22	0,00	2,94	2,94	29,44	19,40	19,19	21,35	23,07	29,55	17,67	28,33	0,85	2,26	0,51	1,50	2010,00	0,35	3,52	3,13
9312	2	1	9	47,46	53,77	26,03	74,49	98,63	87,36	169,14	27,04	76,65	103,26	90,20	168,50	21,43	16,00	57,35	71,43	4,35	4,00	71,00	72,06	70,21	69,68	89,87	93,48	120,50	127,92	8,57	5,11	4,83	5,22	4,97	13,04	5,35	14,71	0,00	1,47	27,15	3,63	474,52	2462,79	302,64	1603,39	1,87	10,00	61,54	0,00	10,00	2,50	29,02	19,72	21,31	23,53	21,73	28,37	19,02	27,69	1,00	2,72	0,69	1,63	2010,00	0,35	3,11	1,70
9321	1	1	9	48,86	55,42	25,15	81,53	94,34	91,59	179,31	25,51	83,46	98,22	93,86	180,57	21,84	24,53	69,05	69,81	9,52	5,66	74,00	73,63	67,40	66,72	93,91	95,48	125,69	130,37	13,33	5,16	4,95	5,24	5,06	6,02	7,10	18,29	0,00	0,00	24,04	3,00	605,71	3369,35	376,62	2223,90	 	4,30	37,50	2,00	4,00	0,00	29,69	17,94	18,29	21,98	23,68	28,63	17,83	28,55	0,91	2,15	0,65	1,48	2009,91	0,35	1,02	0,31
9321	2	1	9	47,48	52,35	25,90	72,94	98,33	87,32	167,72	26,20	73,39	100,33	87,15	167,32	22,13	25,32	66,37	65,00	8,70	12,50	70,34	68,96	69,88	68,32	90,13	91,33	120,91	125,55	19,17	5,18	4,87	5,27	4,94	13,27	4,85	14,29	0,81	3,23	27,10	3,63	459,88	2355,55	309,20	1602,14	1,95	7,26	53,33	3,03	9,23	4,55	29,20	19,10	20,08	21,98	19,91	28,37	18,42	28,27	1,11	2,73	0,89	2,31	2009,90	0,35	2,18	1,97
9331	2	1	10	52,68	58,98	25,43	71,65	97,58	84,31	167,71	25,71	72,15	99,66	87,38	167,49	46,88	50,00	55,74	52,94	9,84	8,57	69,74	72,80	69,95	67,61	90,53	96,63	122,33	133,05	15,87	5,40	4,96	5,50	5,01	8,20	5,31	19,05	6,15	7,69	27,27	3,60	342,92	1828,75	325,85	1743,38	1,90	12,12	33,33	10,71	3,45	14,29	29,12	19,43	20,61	22,02	21,05	28,86	18,42	28,16	1,19	2,64	0,88	1,59	2010,00	-0,32	2,83	1,79
9351	1	4	8	45,05	51,05	26,41	87,83	97,54	94,98	182,28	26,43	88,30	99,66	96,03	182,62	25,00	25,60	79,00	75,90	10,96	10,40	75,66	76,45	68,17	65,69	95,03	97,05	127,01	130,25	14,25	5,09	5,16	5,00	5,27	8,94	7,61	22,94	3,09	4,19	22,50	2,66	530,67	2909,07	294,54	1728,40	 	5,64	29,72	1,32	2,61	3,49	30,22	18,69	19,17	21,95	23,84	29,76	17,25	28,83	1,03	2,48	0,66	1,98	2009,97	-0,91	1,66	1,67
